section,lat,lng,unit_PRICE,PRICE,health,total_size,land_size,n_land,n_build,n_park,district_id,date,built_date,floor,total_floor,build_state,use,is.comp,is.manage,is.furn,n_room,n_hall,n_bath
2015Q1,25.0562592,121.5915528,288,45e3,0,156.18,0,0,1,1,4,2014-10-06,2009-02-20,1,12,3,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.0514711,121.5575573,321,52500,0,163.45,0,0,1,0,7,2014-10-09,1981-03-31,3,14,1,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.0320133,121.5742771,742,1e5,0,134.73000000000002,0,0,1,0,10,2014-10-19,1999-06-21,1,18,3,-1,FALSE,TRUE,TRUE,0,0,0
2015Q1,25.0447812,121.5669716,603,32e3,1,53.08,2241,0,1,0,10,2014-10-06,2006-08-02,6,13,10,-1,TRUE,TRUE,TRUE,2,1,1
2015Q1,25.039364,121.562886,756,140202,0,185.44,0,0,0,0,10,2014-10-30,1992-10-15,8,24,1,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.0332999,121.558381,392,4e4,0,102,0,0,1,0,10,2014-10-28,NA,7,14,1,-1,TRUE,TRUE,FALSE,2,1,0
2015Q1,25.0541773,121.5600574,386,23e3,1,59.57,0,0,1,0,7,2014-10-07,1978-07-20,1,13,10,-1,TRUE,TRUE,TRUE,1,1,1
2015Q1,25.0733149,121.578486,318,71400,0,224.79,0,0,1,0,5,2014-05-07,2001-12-12,4,9,2,-1,TRUE,TRUE,TRUE,3,0,0
2015Q1,25.0607962,121.5411244,266,21e3,1,78.86,0,0,1,0,11,2014-10-28,NA,2,4,5,-1,TRUE,FALSE,TRUE,2,2,1
2015Q1,25.0554652,121.5332848,399,128e3,0,320.57,0,0,1,0,11,2014-10-31,1978-01-30,7,11,1,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.0580477,121.5264375,260,34e3,2,130.82,0,0,1,0,11,2014-10-21,1981-04-23,4,12,10,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0741203,121.5806079,333,279521,0,840.03,0,0,1,0,5,2014-10-31,2002-05-06,5,9,2,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.062785,121.5867659,279,73500,0,263.77,0,0,1,2,5,2014-11-06,2011-11-11,8,14,2,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.0826777,121.5656678,361,121180,2,335.68,46.51,0,1,3,5,2014-10-25,2009-10-07,14,24,10,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0775506,121.5882658,217,28e3,1,128.9,15.72,1,1,1,5,2014-11-02,2007-03-30,5,9,6,-1,TRUE,TRUE,TRUE,2,2,1
2015Q1,25.0523303,121.5279494,403,171227,0,424.53,0,0,0,0,11,2014-10-08,1977-11-18,8,12,1,-1,FALSE,TRUE,TRUE,0,0,0
2015Q1,25.062792,121.529399,367,13e4,1,354.52,0,0,3,0,11,2014-10-09,1971-03-12,4,6,1,-1,TRUE,TRUE,TRUE,6,2,1
2015Q1,25.047564,121.567114,363,165e3,1,491.68,0,0,0,2,10,2014-10-31,1993-02-05,3,11,2,-1,TRUE,TRUE,TRUE,5,1,1
2015Q1,25.041004,121.577475,420,85e3,2,202.47,0,0,1,0,10,2014-10-07,1993-08-13,16,28,1,-1,TRUE,TRUE,TRUE,4,2,2
2015Q1,25.127673,121.535368,945,135e3,3,142.8,0,0,1,0,6,2014-10-27,1961-08-19,-1,1,9,-1,TRUE,FALSE,TRUE,3,2,3
2015Q1,25.132623,121.528973,156,18e3,2,115.41,0,0,1,0,1,2014-10-31,1989-01-31,3,3,5,-1,TRUE,FALSE,FALSE,3,2,2
2015Q1,25.033347,121.5545137,571,25e4,0,438.12,0,0,4,0,2,2014-10-03,1985-11-07,-1,15,3,-1,FALSE,TRUE,FALSE,0,0,0
